Asset,Allocation_Percent,Median_Total_Return_Percent,Annual_Return_Percent,Contribution_Percent
Core_MSCI_World_ETF,50.0,1412.6571638366513,12.536412302055865,706.3285819183257
Core_Eur_govt_bond,5.0,53.43263949034376,1.8786967381591246,2.671631974517188
Invesco_Physical_Gold_ETF,10.0,1100.5794948767552,11.41150478002524,110.05794948767553
Global_Infrastructure_ETF,10.0,645.8881731866959,9.129542793401368,64.58881731866958
Eur_Core_Corp_Bond_ETF,25.0,116.760699307983,3.4207897197114034,29.19017482699575
TOTAL_PORTFOLIO,100.0,709.4941825265156,9.518516803460098,912.8371555261837
