simulation_id,final_value,cagr
4784,989325.4038668891,0.06163169569232618
4785,3570335.6418325594,0.1225542783465643
4786,1846013.2158170585,0.09081712572219414
4787,1232542.2558818043,0.07182634220161388
4788,1077251.9025565428,0.0655691048243554
4789,1406066.7315096282,0.07798213103923946
4790,1414885.0557338581,0.07827519644963465
4791,1167652.7027687917,0.06930895406929416
4792,1346638.0144694187,0.0759599954287633
4793,1332876.7421380263,0.07547959037582941
4794,1148179.3094427502,0.06852734172442498
4795,2051639.2079284643,0.09583742819144736
4796,1337404.5661732545,0.07563817799958583
4797,1430772.019570913,0.0787987969519448
4798,1784125.55897723,0.08920107459539883
4799,2588414.0455037924,0.10696658238471435
4800,911225.1856281558,0.05784275907232028
4801,888416.7622515473,0.05667751638299934
4802,855633.3115773201,0.0549515331670789
4803,1977989.4581138934,0.09409699323770604
4804,1091161.777538477,0.06616365971836835
4805,1484325.7754974312,0.08052374198634826
4806,1503521.5195973816,0.08112756591883286
4807,1398812.1512660193,0.07773971350514297
4808,1088996.9875004438,0.06607160732425532
4809,1792018.758685473,0.08941014408452852
4810,1152993.7783260318,0.06872175550094273
4811,1339098.2867816556,0.07569736883045253
4812,1488417.8679112461,0.08065308730478571
4813,1299499.4266044288,0.07429439035157048
4814,2056110.8241864594,0.09594116420026477
4815,1450048.6608277778,0.07942669710808081
4816,2622518.9384374707,0.10759676680788366
4817,1786319.8673440614,0.08925928453382359
4818,892105.1560138935,0.05686787577903307
4819,1490062.4431123103,0.08070497422957246
4820,2164971.7561629554,0.09840221786237224
4821,2014848.8144644867,0.094975632640381
4822,1536132.9980845612,0.08213669014914782
4823,1959840.5234147417,0.0936585955932503
4824,976286.7076696198,0.0610194954423362
4825,1443248.5156832768,0.07920611165178859
4826,1000723.023074465,0.0621605541249699
4827,847010.5974022257,0.05448705755257088
4828,1373153.4829044603,0.07687255209200927
4829,783787.062438599,0.05093640947737188
4830,812224.9714721047,0.052566165486820804
4831,900971.9704435641,0.05732243285626426
4832,1301430.6606842456,0.0743637562165298
4833,1384938.78869507,0.07727275649448995
4834,1558960.6871766858,0.08283094605415542
4835,1154827.5758785468,0.06879560220329539
4836,2272787.201282356,0.10072562446603484
4837,1861407.573510231,0.0912110608452541
4838,1337851.8431255792,0.07565381605097232
4839,2095402.3022190533,0.09684351009116576
4840,1216457.4835066053,0.07121436534562542
4841,1104668.0745839793,0.06673406727992948
4842,2098038.5136809363,0.09690347103815333
4843,1551227.7341592684,0.08259686005567812
4844,1354730.4269481082,0.07624031301128986
4845,1061831.7152324773,0.06490134993517471
4846,1997703.6431930505,0.09456886192256775
4847,2639499.7117191674,0.10790761715950281
4848,2076514.942636042,0.09641179236891007
4849,1547965.7760306303,0.0824977816755934
4850,1079015.7292790504,0.06564490192207773
4851,1480580.5913743023,0.0804050626677768
4852,1708574.3323187518,0.08715392409050482
4853,1190024.8534669455,0.0701916699076075
4854,1293925.8760718282,0.07409364580508604
4855,1135913.9749661298,0.06802850761826451
4856,1543829.589660707,0.08237186201902214
4857,1210417.7297750162,0.07098257025290633
4858,1753196.1219815668,0.08837322078664034
4859,1442587.0530189916,0.07918460187075937
4860,885383.0855342877,0.05652037975063262
4861,1337320.7001435203,0.07563524525204257
4862,1399416.7551576605,0.07775996270338958
4863,1332452.5836332315,0.07546470778186598
4864,1005044.6572334951,0.06235957611101006
4865,1922473.3733324208,0.09274360856622121
4866,2044707.460434428,0.0956761919066349
4867,1364023.8990617876,0.07656026564437401
4868,844747.7309002104,0.054364415608489036
4869,1488290.2109897034,0.08064905739086492
4870,1445771.2858000607,0.07928806190773452
4871,1772496.8532450267,0.08889144415407757
4872,1678203.7464598953,0.08630649776891897
4873,2438724.717542379,0.10410324353371059
4874,862984.4713048565,0.055343992484164994
4875,1469803.8344977605,0.08006195437830854
4876,1558204.9283887357,0.08280811733329108
4877,1426744.728344388,0.07866659418640065
4878,1717875.0943808262,0.08741056136093195
4879,1895232.7863453857,0.09206580001913545
4880,3043929.745918095,0.11479604193072723
4881,2245437.2209104863,0.10014638057125902
4882,1176594.213116283,0.06966367517011851
4883,1289151.746871083,0.07392103554228568
4884,1163240.079242217,0.06913294108142787
4885,1001606.186292561,0.062201292732043
4886,1867665.4174776457,0.09137030623215292
4887,1731887.867090228,0.08779471912903625
4888,981059.0311191689,0.06124447069553507
4889,2047746.9815848623,0.09574695711747805
4890,2134681.956584267,0.09772955004631778
4891,710419.8422153413,0.04645523613193836
4892,1235455.775378211,0.07193637501027195
4893,1925997.526859683,0.09283062563707989
4894,1128373.043619814,0.06771925225769371
4895,1897012.7111521969,0.0921103723219423
4896,1118434.564130007,0.0673086393435911
4897,1341317.5255342377,0.07577481676768105
4898,1215935.4814853398,0.07119437533853579
4899,1991432.148898309,0.0944192355550808
4900,1027348.3454421471,0.06337387831186936
4901,1039890.9766864576,0.06393506317134712
4902,1498093.5254262697,0.08095757340065868
4903,1197096.3882335948,0.07046738474484204
4904,992380.4350859103,0.06177402094163065
4905,1413422.0275908855,0.07822669573192065
4906,1348659.3306078026,0.07603016358842107
4907,2216869.433063435,0.09953409378667466
4908,1390054.1596631773,0.07744545094702127
4909,1094753.45318282,0.06631600227704193
4910,1682364.628721189,0.08642346139643609
4911,2474792.6551758777,0.10480824022221102
4912,1515287.1513618114,0.08149403265312416
4913,1240880.8388793655,0.07214059976230636
4914,1200304.423801498,0.07059195078317249
4915,1567885.0131418204,0.08309971981307873
4916,1488590.3123461031,0.08065853056013172
4917,1816433.6171663348,0.0900512963806952
4918,2000299.9264495075,0.09463067302181605
4919,1062775.9862732086,0.06494250638235743
4920,1680202.9048560243,0.08636272927974464
4921,2055959.390974075,0.09593765466736914
4922,1175173.96612286,0.06960750478185096
4923,1594093.8760277522,0.08388067531027299
4924,2084625.3901853738,0.09659763513853359
4925,2109854.488682314,0.09717134445117148
4926,1334286.795812587,0.07552903286818546
4927,1681107.4902625654,0.0863881520614116
4928,2291900.297209126,0.1011264753352401
4929,1536276.7097560314,0.08214109162250405
4930,1749000.1568224349,0.08825983751522126
4931,1379234.665043222,0.0770794648291997
4932,1991514.2453761841,0.09442119713646102
4933,1277003.8238951336,0.07347905065859339
4934,1988166.6564501545,0.09434114835108831
4935,981004.3674822411,0.061241899692667356
4936,1414063.6360192935,0.07824797154572605
4937,1249424.4842746132,0.07246049738026183
